top_flood_features,flood_importance,top_quake_features,quake_importance
PRECTOTCORR,0.3927315343694455,latitude_quake,0.5347468630207661
wind_precip_index,0.3511513774469739,longitude_quake,0.326356852879884
RH2M,0.0497371416844281,magnitude,0.06691386444884269
precipitation_sum,0.04123987362285343,day_of_year,0.04281304511735876
WS2M,0.018957838975207388,month,0.008972220201125116
temperature_2m_min,0.013919324354444053,is_monsoon,0.0027131953019473598
temperature_2m_max,0.01351137639113301,RH2M,0.0026211950443636436
T2M,0.013135119313854901,temperature_2m_min,0.002550450000788194
day_of_year,0.012646080701149226,temperature_2m_max,0.0025373017248333466
wind_speed_10m_max,0.010967684065181034,is_winter,0.0020557639121494644
